INSTNM,CITY,STABBR,ZIP,CONTROL,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS,REGION,TUITION_DIFF
University of the Incarnate Word,San Antonio,TX,78209,2,0.9385,1028,29990,29990,5807,6,0
Lamar University,Beaumont,TX,77705,1,0.8165,1045,8314,18274,8928,6,9960
Texas A & M International University,Laredo,TX,78041-1900,1,0.4959,996,7143,17411,6780,6,10268
LeTourneau University,Longview,TX,75602,2,0.4708,1190,29320,29320,1802,6,0
Lubbock Christian University,Lubbock,TX,79407-2099,2,0.9407,1091,21794,21794,1439,6,0
University of Mary Hardin-Baylor,Belton,TX,76513-2599,2,0.7884,1108,27600,27600,3275,6,0
McMurry University,Abilene,TX,79697,2,0.4335,1015,26887,26887,1031,6,0
Midwestern State University,Wichita Falls,TX,76308-2099,1,0.814,1034,8694,10644,5329,6,1950
University of North Texas,Denton,TX,76203-1277,1,0.7241,1167,10544,20504,31448,6,9960
Our Lady of the Lake University,San Antonio,TX,78207-4689,2,0.913,1000,28192,28192,1320,6,0
The University of Texas Rio Grande Valley,Edinburg,TX,78539-2999,1,0.8048,1020,7587,17547,24142,6,9960
Paul Quinn College,Dallas,TX,75241,2,0.5431,843,8495,8495,515,6,0
Prairie View A & M University,Prairie View,TX,77446,1,0.7893,956,9959,23488,7975,6,13529
Rice University,Houston,TX,77005-1827,2,0.1586,1535,45608,45608,3970,6,0
Saint Edward's University,Austin,TX,78704-6489,2,0.8418,1186,43300,43300,3930,6,0
University of St Thomas,Houston,TX,77006-4696,2,0.8094,1160,32660,32660,1765,6,0
Sam Houston State University,Huntsville,TX,77340,1,0.7439,1068,8062,18022,18416,6,9960
Schreiner University,Kerrville,TX,78028-5697,2,0.9236,1062,26900,26900,1185,6,0
